Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
U-128,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-1280,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-1282,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-129,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-13,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-130,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-131,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-132,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-133,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-134,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-135,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-136,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-137,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-138,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-139,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-14,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-140,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-141,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-142,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-143,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-144,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-145,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-146,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-147,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-148,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-149,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-15,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-150,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-151,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-152,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-153,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-154,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-155,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-156,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-157,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-158,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
