Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
A (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
ABSD-1,No Classification,No Classification,United States Navy,USN,United States,,No Data
ABSD-2,No Classification,No Classification,United States Navy,USN,United States,,No Data
Abukuma,Nagara-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1923,Actual
Acasta,A and B-class Destroyer,Destroyer,Royal Navy,RN,United Kingdom,1929,Actual
Acavus,Rapana-class Merchant Vessel,Merchant Vessel,Royal Navy,RN,United Kingdom,,No Data
Activity,Activity-class Escort Carrier,Escort Carrier,Royal Navy,RN,United Kingdom,1942,Actual
Adelaide,Town-class Light Cruiser,Light Cruiser,Royal Australian Navy,RAN,Australia,1918,Actual
Admiral Graf Spee,Deutschland-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1934,Actual
Admiral Hipper,Admiral Hipper-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1937,Actual
Admiral Scheer,Deutschland-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1933,Actual
Adolf LÃ¼deritz,Carl Peters-class Tender,Tender,Kriegsmarine,KM,Germany,1939,Actual
Adula,Rapana-class Merchant Vessel,Merchant Vessel,Royal Navy,RN,United Kingdom,,No Data
Agano,Agano-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1941,Actual
Akagi,Akagi-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1925,Actual
Akashi,Akashi-class Repair Ship,Repair Ship,Imperial Japanese Navy,IJN,Japan,1938,Actual
Alabama,South Dakota-class Battleship,Battleship,United States Navy,USN,United States,1942,Actual
Alaska,Alaska-class Large Cruiser,Large Cruiser,United States Navy,USN,United States,1943,Actual
Albacore,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Albatros,1923-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1926,Actual
Albatross,No Classification,No Classification,Royal Navy,RN,United Kingdom,,No Data
Albert Leo Schlageter,Gorch Fock-class Barque,Barque,Kriegsmarine,KM,Germany,1937,Actual
Albert W. Grant,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Alfredo Oriani,Oriani-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
AlgÃ©rie,AlgÃ©rie-class Heavy Cruiser,Heavy Cruiser,French Navy,MN,France,1932,Actual
Alpino,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Altmark,Dithmarschen-class Auxiliary,Auxiliary,Kriegsmarine,KM,Germany,1937,Actual
Amagi,Unryu-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1943,Actual
Amagiri,Fubuki-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1930,Actual
Amberjack,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Ambra,Perla-class Submarine,Submarine,Regia Marina,RM,Italy,,No Data
Ameer,Ruler-class Escort Carrier,Escort Carrier,Royal Navy,RN,United Kingdom,1942,Actual
Ancon,No Classification,No Classification,United States Navy,USN,United States,1938,Actual
Ancylus,Rapana-class Merchant Vessel,Merchant Vessel,Royal Navy,RN,United Kingdom,1935,Actual
Angler,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Anson,King George V (1939)-class Battleship,Battleship,Royal Navy,RN,United Kingdom,,No Data
Anticosti,Isles-class Trawler,Trawler,Royal Canadian Navy,RCN,Canada,1942,Actual
Anzio,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Aoba,Furutaka-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1926,Actual
Apogon,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Arashio,Asashio-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,,No Data
Arbiter,Ruler-class Escort Carrier,Escort Carrier,Royal Navy,RN,United Kingdom,1943,Actual
Archer,Archer-class Escort Carrier,Escort Carrier,Royal Navy,RN,United Kingdom,,No Data
Archerfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Argonaut (Argonaut-class),Argonaut-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Argonaut (Tench-class),Tench-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Argus,Argus-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1917,Actual
Arisan Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,,No Data
Arizona,Pennsylvania-class Battleship,Battleship,United States Navy,USN,United States,1915,Actual
Ark Royal,Ark Royal-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1937,Actual
Armidale,Bathurst-class Corvette,Corvette,Royal Australian Navy,RAN,Australia,1942,Actual
Artigliere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Asagumo,Asashio-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,,No Data
Asama Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,1928,Actual
Ascari,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1938,Actual
Ashigara,Myoko-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1928,Actual
Aspro,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Astoria (Cleveland-class),Cleveland-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,,No Data
Astoria (New Orleans-class),New Orleans-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1933,Actual
Atago,Takao-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1930,Actual
Atlanta,Atlanta-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1941,Actual
Atlantis,No Classification,No Classification,Kriegsmarine,KM,Germany,1937,Actual
Atule,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Augusta,Northampton-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1930,Actual
Austin,Evarts-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1942,Actual
Australia,County-class Heavy Cruiser,Heavy Cruiser,Royal Australian Navy,RAN,Australia,1927,Actual
Aviere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1937,Actual
Awa Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,1942,Actual
B (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
B (Planned),Graf Zeppelin-class Aircraft Carrier,Aircraft Carrier,Kriegsmarine,KM,Germany,1940,"(Projected, not actual)"
BÅyskawica,Grom-class Destroyer,Destroyer,Polish Navy,PMW,Poland,1936,Actual
Bailey,Benson-class Destroyer,Destroyer,United States Navy,USN,United States,1941,Actual
Balao,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Baltimore,Baltimore-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1942,Actual
Bang,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Barb,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Barbel,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Barbero,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Barham,Queen Elizabeth-class Battleship,Battleship,Royal Navy,RN,United Kingdom,1914,Actual
Bashaw,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Bataan (Independence-class),Independence-class Light Carrier,Light Carrier,United States Navy,USN,United States,1943,Actual
Bataan (Tribal-class),Tribal-class Destroyer,Destroyer,Royal Australian Navy,RAN,Australia,1944,Actual
Batfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Baya,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
BÃ©arn,BÃ©arn-class Aircraft Carrier,Aircraft Carrier,French Navy,MN,France,,No Data
Becuna,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Belfast,Town-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1938,Actual
Bell,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Belleau Wood,Independence-class Light Carrier,Light Carrier,United States Navy,USN,United States,1942,Actual
Bennington,Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1944,Actual
Bergall,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Bersagliere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1938,Actual
Besugo,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Billfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Birmingham,Town-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1936,Actual
Biscayne,Barnegat-class Seaplane Tender,Seaplane Tender,United States Navy,USN,United States,1941,Actual
Bismarck,Bismarck-class Battleship,Battleship,Kriegsmarine,KM,Germany,1939,Actual
Blackfin,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Blackfish,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Blenny,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Blower,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Blueback,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Bluefish,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Bluegill,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
BlÃ¼cher,Admiral Hipper-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1937,Actual
Boarfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Boise,Brooklyn-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,,No Data
Bolzano,Trento-class Heavy Cruiser,Heavy Cruiser,Regia Marina,RM,Italy,1932,Actual
Bombardiere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Bonefish,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Boston,Baltimore-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,,No Data
Bowfin,Balao-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Bream,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Bremse,No Classification,No Classification,Kriegsmarine,KM,Germany,1932,Actual
Bretagne,Bretagne-class Battleship,Battleship,French Navy,MN,France,1913,Actual
Brill,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Brummer,No Classification,No Classification,Kriegsmarine,KM,Germany,1935,Actual
Bugara,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Bullhead,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Bumper,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Bunker Hill,Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1942,Actual
Burrfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Burza,Wicher-class Destroyer,Destroyer,Polish Navy,PMW,Poland,1929,Actual
Bussard,No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
C (Planned),Graf Zeppelin-class Aircraft Carrier,Aircraft Carrier,Kriegsmarine,KM,Germany,1945,"(Projected, not actual)"
C (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
Cabezon,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Cabot,Independence-class Light Carrier,Light Carrier,United States Navy,USN,United States,1943,Actual
Cabrilla,Balao-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Cachalot (Cachalot-class),Cachalot-class Submarine,Submarine,United States Navy,USN,United States,1933,Actual
Cachalot (Grampus-class),Grampus-class Minelaying Submarine,Minelaying Submarine,Royal Navy,RN,United Kingdom,1937,Actual
Caiman,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
California,Tennessee-class Battleship,Battleship,United States Navy,USN,United States,,No Data
Camicia Nera,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1937,Actual
Canberra (Baltimore-class),Baltimore-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1943,Actual
Canberra (County-class),County-class Heavy Cruiser,Heavy Cruiser,Royal Australian Navy,RAN,Australia,,No Data
Canfield,Evarts-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1943,Actual
Capelin,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Capitaine,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Carabiniere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1938,Actual
Carbonero,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Card,Bogue-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1942,Actual
Carl Peters,Carl Peters-class Tender,Tender,Kriegsmarine,KM,Germany,1939,Actual
Carl Zeiss,No Classification,No Classification,Kriegsmarine,KM,Germany,1938,Actual
Carp,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Casabianca,Redoubtable-class Submarine,Submarine,French Navy,MN,France,1935,Actual
Casablanca,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Cassin Young,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Cavalla,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Centurion,King George V (1911)-class Battleship,Battleship,Royal Navy,RN,United Kingdom,1911,Actual
Cero,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Chariot-class Summary Information,Chariot-class Midget Submarine,Midget Submarine,Royal Navy,RN,United Kingdom,,No Data
Charles J. Badger,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Charr,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Chester,Northampton-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1929,Actual
Chicago,Northampton-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1930,Actual
Chikuma,Tone-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1938,Actual
Chitose,Chitose-class Light Carrier,Light Carrier,Imperial Japanese Navy,IJN,Japan,1936,Actual
Chiyoda,Chitose-class Light Carrier,Light Carrier,Imperial Japanese Navy,IJN,Japan,1936,Actual
Chokai,Takao-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1931,Actual
Chub,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Chuyo,Taiyo-class Escort Carrier,Escort Carrier,Imperial Japanese Navy,IJN,Japan,1939,Actual
Cisco,Balao-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Cobia,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Cochino,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Cod,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Colbert,Suffren-class Heavy Cruiser,Heavy Cruiser,French Navy,MN,France,1928,Actual
Colorado,Colorado-class Battleship,Battleship,United States Navy,USN,United States,1921,Actual
Colossus,Colossus-class Light Carrier,Light Carrier,Royal Navy,RN,United Kingdom,1943,Actual
Columbia,Cleveland-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1941,Actual
Concord,Omaha-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1921,Actual
Console Generale Liuzzi,Liuzzi-class Submarine,Submarine,Regia Marina,RM,Italy,1939,Actual
Conte di Cavour,Conte di Cavour-class Battleship,Battleship,Regia Marina,RM,Italy,1911,Actual
Copahee,Bogue-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1941,Actual
Corazziere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1938,Actual
Cornwall,County-class Heavy Cruiser,Heavy Cruiser,Royal Navy,RN,United Kingdom,1926,Actual
Coronel,No Classification,No Classification,Kriegsmarine,KM,Germany,1938,Actual
Corregidor,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Corsaro,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Corvina,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Cossack,Tribal-class Destroyer,Destroyer,Royal Navy,RN,United Kingdom,1937,Actual
Cotten,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Courageous,Courageous-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,,No Data
Cowpens,Independence-class Light Carrier,Light Carrier,United States Navy,USN,United States,1943,Actual
Craven,Gridley-class Destroyer,Destroyer,United States Navy,USN,United States,1937,Actual
Crevalle,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Croaker,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Cumberland,County-class Heavy Cruiser,Heavy Cruiser,Royal Navy,RN,United Kingdom,1926,Actual
Cummings,Mahan-class Destroyer,Destroyer,United States Navy,USN,United States,1935,Actual
Cuttlefish,Cachalot-class Submarine,Submarine,United States Navy,USN,United States,1933,Actual
D (Planned),Graf Zeppelin-class Aircraft Carrier,Aircraft Carrier,Kriegsmarine,KM,Germany,1947,"(Projected, not actual)"
D (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
Dace,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Daihatsu-class Summary Information,Daihatsu-class Landing Craft,Landing Craft,Imperial Japanese Navy,IJN,Japan,,No Data
Daly,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Danae,Danae-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1918,Actual
Darter,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
De Grasse,De Grasse-class Light Cruiser,Light Cruiser,French Navy,MN,France,1946,Actual
Delhi,Danae-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1918,Actual
Dentuda,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Denver,Cleveland-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1942,Actual
Detroit,Omaha-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1922,Actual
Deutschland,Deutschland-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1931,Actual
Devilfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Devonshire,County-class Heavy Cruiser,Heavy Cruiser,Royal Navy,RN,United Kingdom,1927,Actual
Dianthus,Flower-class Corvette,Corvette,Royal Navy,RN,United Kingdom,1940,Actual
Dithmarschen,Dithmarschen-class Auxiliary,Auxiliary,Kriegsmarine,KM,Germany,1937,Actual
Doherty,Evarts-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1942,Actual
Dolphin,Dolphin-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Doneff,Evarts-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1942,Actual
Dorado,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Dorsetshire,County-class Heavy Cruiser,Heavy Cruiser,Royal Navy,RN,United Kingdom,1929,Actual
Dragon,Danae-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1917,Actual
Dragonet,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Drayton,Mahan-class Destroyer,Destroyer,United States Navy,USN,United States,1936,Actual
Drum,Gato-class Submarine,Submarine,United States Navy,USN,United States,1941,Actual
Duguay-Trouin,Duguay-Trouin-class Light Cruiser,Light Cruiser,French Navy,MN,France,1923,Actual
Duke of York,King George V (1939)-class Battleship,Battleship,Royal Navy,RN,United Kingdom,,No Data
Dunkerque,Dunkerque-class Battleship,Battleship,French Navy,MN,France,1935,Actual
Dupleix,Suffren-class Heavy Cruiser,Heavy Cruiser,French Navy,MN,France,1930,Actual
Duquesne,Duquesne-class Heavy Cruiser,Heavy Cruiser,French Navy,MN,France,1925,Actual
E (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
Eagle,Eagle-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1918,Actual
Edinburgh,Town-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1938,Actual
Effingham,Hawkins-class Heavy Cruiser,Heavy Cruiser,Royal Navy,RN,United Kingdom,1921,Actual
Ellet,Benham-class Destroyer,Destroyer,United States Navy,USN,United States,1938,Actual
Elli,Zhaohe-class Protected Cruiser,Protected Cruiser,Hellenic Navy,HN,Greece,1913,Actual
Emden,Emden-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1925,Actual
Ãmile Bertin,Ãmile Bertin-class Light Cruiser,Light Cruiser,French Navy,MN,France,1933,Actual
Engstrom,Evarts-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1942,Actual
Enterprise,Yorktown-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1936,Actual
Ermland,Dithmarschen-class Auxiliary,Auxiliary,Kriegsmarine,KM,Germany,,No Data
Erwin Wassner,No Classification,No Classification,Kriegsmarine,KM,Germany,1938,Actual
Escolar,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Essex,Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1942,Actual
Exeter,York-class Heavy Cruiser,Heavy Cruiser,Royal Navy,RN,United Kingdom,1928,Actual
Express,E-class Destroyer,Destroyer,Royal Navy,RN,United Kingdom,1934,Actual
F (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
F1,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1935,Actual
F10,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1936,Actual
F2,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1935,Actual
F3,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1935,Actual
F4,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1935,Actual
F5,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1935,Actual
F6,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1935,Actual
F7,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1936,Actual
F8,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1936,Actual
F9,F-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,1936,Actual
Fairmile D-class Summary Information,Fairmile D-class Motor Torpedo Boat,Motor Torpedo Boat,Royal Navy,RN,United Kingdom,,No Data
Falke,No Classification,No Classification,Kriegsmarine,KM,Germany,1940,Actual
Falke,1923-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1926,Actual
Farragut,Farragut-class Destroyer,Destroyer,United States Navy,USN,United States,1934,Actual
Fieberling,Buckley-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1944,Actual
Finback,Gato-class Submarine,Submarine,United States Navy,USN,United States,1941,Actual
Fiume,Zara-class Heavy Cruiser,Heavy Cruiser,Regia Marina,RM,Italy,,No Data
Flasher,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Flier,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Flounder,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Flying Fish,Gato-class Submarine,Submarine,United States Navy,USN,United States,1941,Actual
Foch,Suffren-class Heavy Cruiser,Heavy Cruiser,French Navy,MN,France,1929,Actual
Formidable,Illustrious-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1939,Actual
Fox,Clemson-class Destroyer,Destroyer,United States Navy,USN,United States,1919,Actual
Franken,Dithmarschen-class Auxiliary,Auxiliary,Kriegsmarine,KM,Germany,1939,Actual
Franklin,Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1943,Actual
Friesenland,No Classification,No Classification,Kriegsmarine,KM,Germany,1937,Actual
Fuciliere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1938,Actual
Furious,Courageous-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1916,Actual
Furutaka,Furutaka-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1925,Actual
Fuso,Fuso-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1914,Actual
G (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
G,No Classification,No Classification,Kriegsmarine,KM,Germany,1939,Actual
G1,G-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,,No Data
G2,G-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,,No Data
G3,G-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,,No Data
G4 (Planned),G-class Destroyer Escort,Destroyer Escort,Kriegsmarine,KM,Germany,,No Data
Gabilan,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Gar,Tambor-class Submarine,Submarine,United States Navy,USN,United States,1940,Actual
Garland,G-class Destroyer,Destroyer,Polish Navy,PMW,Poland,1935,Actual
Gato,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Geniere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1938,Actual
Georges Leygues,La GalissonniÃ¨re-class Light Cruiser,Light Cruiser,French Navy,MN,France,1936,Actual
Gilmore,Evarts-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1942,Actual
GiosuÃ¨ Carducci,Oriani-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Giulio Cesare,Conte di Cavour-class Battleship,Battleship,Regia Marina,RM,Italy,1911,Actual
Glasgow,Town-class Light Cruiser,Light Cruiser,Royal Navy,RN,United Kingdom,1936,Actual
Gloire,La GalissonniÃ¨re-class Light Cruiser,Light Cruiser,French Navy,MN,France,1935,Actual
Glorious,Courageous-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1916,Actual
Glory,Colossus-class Light Carrier,Light Carrier,Royal Navy,RN,United Kingdom,1943,Actual
Gneisenau,Gneisenau-class Battlecruiser,Battlecruiser,Kriegsmarine,KM,Germany,1936,Actual
Golet,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Gorch Fock,Gorch Fock-class Barque,Barque,Kriegsmarine,KM,Germany,1933,Actual
Gorizia,Zara-class Heavy Cruiser,Heavy Cruiser,Regia Marina,RM,Italy,1930,Actual
Graf Zeppelin,Graf Zeppelin-class Aircraft Carrier,Aircraft Carrier,Kriegsmarine,KM,Germany,1938,Actual
Grampus,Tambor-class Submarine,Submarine,United States Navy,USN,United States,1940,Actual
Granatiere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,1938,Actual
Graph,Type VII-class Submarine,Submarine,Royal Navy,RN,United Kingdom,,No Data
Grayback,Tambor-class Submarine,Submarine,United States Navy,USN,United States,1941,Actual
Grayling,Tambor-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Grayson,Gleaves-class Destroyer,Destroyer,United States Navy,USN,United States,1940,Actual
Greenling,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Greif,1923-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1926,Actual
Greif,No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
Grenadier,Tambor-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Gridley,Gridley-class Destroyer,Destroyer,United States Navy,USN,United States,1936,Actual
Grille,No Classification,No Classification,Kriegsmarine,KM,Germany,1934,Actual
